mysql> SELECT DATEDIFF(createdOn, modifiedOn) AS differenceInDays FROM AddressBook;                                                                              
+------------------+
| differenceInDays |
+------------------+
|              -18 |
|              477 |
|              -43 |
|              177 |
|              447 |
|              -53 |
|              -28 |
|              523 |
|             -305 |
|               13 |
|             -446 |
|              -57 |
|              651 |
|              684 |
|              391 |
|              -43 |
|              407 |
|              576 |
|              185 |
|              189 |
|              -12 |
|              258 |
|              410 |
|             -212 |
|              430 |
|              554 |
|             -347 |
|             -474 |
|             -286 |
|             -259 |
|             -521 |
|              285 |
|              228 |
|             -277 |
|             -207 |
|             -444 |
|              274 |
|             -359 |
|              288 |
|              414 |
|              179 |
|               47 |
|              251 |
|              -60 |
|              -81 |
|               73 |
|              353 |
|              137 |
|              225 |
|              100 |
|              422 |
|             -606 |
|              432 |
|              527 |
|             -243 |
|              154 |
|             -339 |
|              301 |
|              237 |
|              -50 |
|               43 |
|             -125 |
|             -435 |
|              381 |
|              253 |
|              166 |
|             -172 |
|             -112 |
|             -204 |
|             -138 |
|             -516 |
|             -266 |
|              602 |
|              -33 |
|              457 |
|              320 |
|             -241 |
|               44 |
|             -101 |
|              621 |
|             -563 |
|              151 |
|               57 |
|              -70 |
|             -443 |
|             -607 |
|              578 |
|              615 |
|               41 |
|              180 |
|              220 |
|              420 |
|             -444 |
|              130 |
|             -490 |
|              -53 |
|             -245 |
|              192 |
|             -128 |
|              -81 |
|              321 |
|              591 |
|              284 |
|               74 |
|              309 |
|             -353 |
|              230 |
|              253 |
|              -77 |
+------------------+
1100 rows in set (0.00 sec)
