mysql> SELECT id, DATE_FORMAT(createdOn,'%b %d %Y %h:%i %p') AS createdOnFormat, DATE_FORMAT(modifiedOn, '%D %y %a %d %c %b %j') AS modifiedOnFormat FROM Account;
+------+----------------------+---------------------------+
| id   | createdOnFormat      | modifiedOnFormat          |
+------+----------------------+---------------------------+
|    1 | May 16 2016 12:35 PM | 15th 14 Sat 15 11 Nov 319 |
|    2 | Mar 21 2016 11:42 PM | 31st 16 Sun 31 7 Jul 213  |
|    3 | Aug 16 2016 04:51 PM | 24th 16 Sun 24 7 Jul 206  |
|    4 | Apr 26 2015 06:43 AM | 19th 16 Sat 19 3 Mar 079  |
|    5 | Sep 16 2015 08:45 AM | 8th 16 Fri 08 7 Jul 190   |
|    6 | Jul 10 2016 11:53 PM | 22nd 15 Thu 22 10 Oct 295 |
|    7 | May 09 2015 01:58 AM | 5th 14 Wed 05 11 Nov 309  |
|    8 | Jan 02 2016 11:43 AM | 22nd 16 Fri 22 4 Apr 113  |
|    9 | Oct 06 2015 09:29 AM | 2nd 16 Wed 02 3 Mar 062   |
|   10 | Aug 20 2015 07:19 PM | 21st 16 Tue 21 6 Jun 173  |
|   11 | Sep 01 2016 07:39 AM | 20th 15 Sun 20 9 Sep 263  |
|   12 | Jan 21 2015 09:18 PM | 9th 15 Mon 09 11 Nov 313  |
|   13 | Apr 27 2015 05:09 AM | 21st 15 Sat 21 11 Nov 325 |
|   14 | Oct 11 2014 08:56 PM | 28th 16 Tue 28 6 Jun 180  |
|   15 | Nov 19 2014 01:11 AM | 26th 16 Tue 26 7 Jul 208  |
|   16 | Sep 08 2015 11:16 PM | 2nd 16 Sat 02 4 Apr 093   |
|   17 | Jun 18 2015 03:42 AM | 29th 15 Tue 29 9 Sep 272  |
|   18 | Jul 29 2016 08:14 AM | 11th 14 Tue 11 11 Nov 315 |
|   19 | Jan 25 2015 06:47 PM | 17th 15 Tue 17 11 Nov 321 |
|   20 | Sep 28 2015 12:20 PM | 26th 15 Wed 26 8 Aug 238  |
|   21 | Apr 23 2016 08:00 PM | 3rd 16 Thu 03 3 Mar 063   |
|   22 | Apr 24 2016 03:42 PM | 7th 16 Mon 07 3 Mar 067   |
|   23 | Nov 21 2014 04:28 PM | 11th 16 Mon 11 7 Jul 193  |
